Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",2.683759658532e+01,3.975576861289e+02,8.144657478412e-07,2.758734789865e+01,3.977481446216e+02,6.831022645341e-07,7.497513133358e-01,1.904584927633e-01,-1.313634833071e-07
"                   2",1.635843046252e+01,2.819541466928e+02,-8.759093175072e-08,1.710081325195e+01,2.820793634528e+02,4.111202670264e-07,7.423827894230e-01,1.252167600048e-01,4.987111987772e-07
"                   3",-6.788257998839e+00,-2.908915521106e+01,-1.458402997912e-06,-6.071111178893e+00,-2.900892335304e+01,2.677715997936e-08,7.171468199459e-01,8.023185802808e-02,1.485180157891e-06
"                   4",-1.818082082920e+01,-1.792953630615e+02,-1.688462873369e-06,-1.753245649816e+01,-1.792345559555e+02,-6.094284122435e-07,6.483643310398e-01,6.080710596658e-02,1.079034461126e-06
"                   5",-1.149360986323e+01,-8.721470497637e+01,-1.511961302417e-06,-1.091227746585e+01,-8.715586281287e+01,2.446033850813e-08,5.813323973734e-01,5.884216349614e-02,1.536421640925e-06
"                   6",1.234545325946e+00,7.391804117319e+01,-1.184024693293e-06,1.773866165295e+00,7.397946645924e+01,2.318611862707e-07,5.393208393482e-01,6.142528605563e-02,1.415885879564e-06
"                   7",7.038720681920e+00,1.367272414849e+02,-3.495311664588e-07,7.559051397217e+00,1.367860185029e+02,8.147430530196e-07,5.203307152976e-01,5.877701799672e-02,1.164274219478e-06
"                   8",3.279388310347e+00,8.009808756804e+01,-3.124452127449e-07,3.789364625070e+00,8.014311323951e+01,4.005995763933e-07,5.099763147230e-01,4.502567146644e-02,7.130447891382e-07
"                   9",-3.726984217175e+00,-1.185279183751e+00,-3.866903863190e-07,-3.238166528088e+00,-1.150019669231e+00,1.624823925334e-07,4.888176890868e-01,3.525951451965e-02,5.491727788524e-07
"                  10",-7.342979927112e+00,-2.844320389683e+01,-1.392560367532e-07,-6.876419224685e+00,-2.841164992419e+01,1.735630005836e-07,4.665607024265e-01,3.155397264917e-02,3.128190373369e-07
"                  11",-5.546656501972e+00,2.839251590522e+00,7.397214813100e-08,-5.120552315455e+00,2.870869870257e+00,2.699179540024e-07,4.261041865174e-01,3.161827973461e-02,1.959458058714e-07
"                  12",-1.554828259994e+00,4.395506541176e+01,1.074903194272e-07,-1.156710691561e+00,4.398735343064e+01,1.464674194086e-07,3.981175684326e-01,3.228801887959e-02,3.897709998136e-08
"                  13",7.989907726095e-01,5.655552544997e+01,-6.600971512121e-08,1.179712443679e+00,5.658425182878e+01,-2.326319450253e-07,3.807216710699e-01,2.872637881413e-02,-1.666222299040e-07
"                  14",5.195740456707e-02,3.962247912408e+01,-3.353055213647e-07,3.913103464131e-01,3.963037015435e+01,3.262272137581e-07,3.393529418460e-01,7.891030265557e-03,6.615327351228e-07
