Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.716446501478e+01,7.125724421278e+02,-6.738434763692e-04,4.808619830600e+01,7.128070913539e+02,-6.740845136851e-04,9.217332912244e-01,2.346492260781e-01,-2.410373158432e-07
"                   2",2.749715228145e+01,4.828033786694e+02,-5.447350610929e-04,2.839364455893e+01,4.829523781879e+02,-5.417843615497e-04,8.964922774755e-01,1.489995184961e-01,2.950699543210e-06
"                   3",-1.406707690527e+01,-1.054374480195e+02,-9.896652017691e-05,-1.321912996451e+01,-1.053521353944e+02,-9.371964686825e-05,8.479469407612e-01,8.531262501539e-02,5.246873308658e-06
"                   4",-3.174281486246e+01,-3.754948767287e+02,1.776391610506e-04,-3.096819330397e+01,-3.754376183882e+02,1.830915658817e-04,7.746215584903e-01,5.725834044630e-02,5.452404831091e-06
"                   5",-1.576122607839e+01,-1.737034331258e+02,1.268014787332e-04,-1.504541397072e+01,-1.736394301270e+02,1.313285035838e-04,7.158121076753e-01,6.400299875895e-02,4.527024850625e-06
"                   6",7.855462112345e+00,1.468985393498e+02,-6.626864247482e-05,8.536252904299e+00,1.469755283964e+02,-6.248772465208e-05,6.807907919540e-01,7.698904662798e-02,3.780917822738e-06
"                   7",1.476213833447e+01,2.505080494956e+02,-1.757237129432e-04,1.541656083251e+01,2.505703701127e+02,-1.690405945471e-04,6.544224980440e-01,6.232061712481e-02,6.683118396061e-06
"                   8",3.829958892515e+00,1.144505208032e+02,-1.335319073343e-04,4.478848141655e+00,1.145105227467e+02,-1.298743313924e-04,6.488892491400e-01,6.000194354835e-02,3.657575941922e-06
"                   9",-9.367199733957e+00,-5.205677595770e+01,-3.557854706725e-05,-8.740169364210e+00,-5.200510625087e+01,-2.032771352838e-05,6.270303697467e-01,5.166970682977e-02,1.525083353887e-05
"                  10",-1.213669502345e+01,-8.605609403537e+01,-2.595581681552e-09,-1.155722837585e+01,-8.601314420177e+01,1.748772832409e-05,5.794666476041e-01,4.294983360155e-02,1.749032390577e-05
"                  11",-5.198961464672e+00,-2.355989489357e+00,-3.646273568295e-05,-4.661891619550e+00,-2.314675776744e+00,-2.350042075357e-05,5.370698451223e-01,4.131371261262e-02,1.296231492939e-05
"                  12",1.962438989099e+00,8.074577777213e+01,-8.612318836897e-05,2.470897590648e+00,8.078864866507e+01,-7.739067864349e-05,5.084586015482e-01,4.287089293984e-02,8.732509725481e-06
"                  13",2.737982714582e+00,8.725571503386e+01,-9.672717112904e-05,3.226737477355e+00,8.729666341522e+01,-9.030799667313e-05,4.887547627729e-01,4.094838135842e-02,6.419174455908e-06
"                  14",-1.640404700142e+00,3.720263821507e+01,-7.003064452511e-05,-1.168386308359e+00,3.723650391121e+01,-5.641909171794e-05,4.720183917828e-01,3.386569613714e-02,1.361155280717e-05
"                  15",-5.606043139661e+00,-3.563138119903e+00,-4.444496963228e-05,-5.159932758474e+00,-3.535576853524e+00,-2.055334417052e-05,4.461103811877e-01,2.756126637882e-02,2.389162546177e-05
"                  16",-5.776654058808e+00,-7.846208513778e-01,-4.057382574005e-05,-5.356651290942e+00,-7.583628512230e-01,-3.645109041038e-05,4.200027678663e-01,2.625800015481e-02,4.122735329672e-06
"                  17",-3.222799209337e+00,2.708475794523e+01,-5.638670637189e-05,-2.822941351000e+00,2.711184187615e+01,-5.523027116935e-05,3.998578583364e-01,2.708393091853e-02,1.156435202543e-06
"                  18",-1.088216827979e+00,4.557958518244e+01,-7.014649119047e-05,-7.086173566443e-01,4.560833890559e+01,-7.095407950898e-05,3.795994713345e-01,2.875372315283e-02,-8.075883185055e-07
