Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",4.497291396605e+01,4.041820576697e+02,-6.407574133655e-05,4.648307692544e+01,4.044360553884e+02,-6.268324360953e-05,1.510162959389e+00,2.539977186483e-01,1.392497727022e-06
"                   2",2.548885999796e+01,2.630336781240e+02,-4.247369503493e-05,2.671153571993e+01,2.630835004440e+02,-3.568826086847e-05,1.222675721976e+00,4.982232002699e-02,6.785434166459e-06
"                   3",-1.225068315148e+01,-6.501785926036e+01,-1.519690325070e-06,-1.124141473918e+01,-6.508528144671e+01,8.014588090993e-06,1.009268412303e+00,-6.742218635528e-02,9.534278416063e-06
"                   4",-2.737555596673e+01,-2.038606854114e+02,2.168126273795e-05,-2.645821084798e+01,-2.039068423229e+02,2.736469707413e-05,9.173451187431e-01,-4.615691156006e-02,5.683434336173e-06
"                   5",-1.322780932041e+01,-8.320035898998e+01,2.067795187891e-05,-1.240953230323e+01,-8.317630299926e+01,2.101420674390e-05,8.182770171762e-01,2.405599071582e-02,3.362548649911e-07
"                   6",7.449265660040e+00,9.278398405151e+01,6.734644445446e-06,8.202096312434e+00,9.285982788695e+01,5.060654154827e-06,7.528306523940e-01,7.584383544390e-02,-1.673990290618e-06
"                   7",1.359690649843e+01,1.424317155994e+02,-3.024459774077e-06,1.429269367463e+01,1.425050275309e+02,-1.814298705631e-06,6.957871761953e-01,7.331193158379e-02,1.210161068446e-06
"                   8",4.270404899901e+00,6.294240656185e+01,-2.703554723050e-06,4.895860666206e+00,6.297870157046e+01,1.101486033747e-06,6.254557663049e-01,3.629500860809e-02,3.805040756797e-06
"                   9",-6.808096885422e+00,-2.545868505128e+01,2.000867012657e-06,-6.252931978977e+00,-2.544693147631e+01,3.936154352578e-06,5.551649064450e-01,1.175357496764e-02,1.935287339922e-06
"                  10",-9.036410198002e+00,-3.665894866249e+01,4.934706729413e-06,-8.549512224836e+00,-3.665023646380e+01,3.375387572924e-06,4.868979731662e-01,8.712198682483e-03,-1.559319156489e-06
"                  11",-3.495582141189e+00,1.291309007563e+01,4.585679064056e-06,-3.060966507218e+00,1.293458857083e+01,2.925695529852e-06,4.346156339710e-01,2.149849520220e-02,-1.659983534204e-06
"                  12",2.250615642768e+00,5.762386189538e+01,3.225662823165e-06,2.653118076898e+00,5.765638795723e+01,4.499553789236e-06,4.025024341303e-01,3.252606185462e-02,1.273890966071e-06
"                  13",2.941804507083e+00,5.791588632911e+01,2.959948173391e-06,3.325362098681e+00,5.794919795611e+01,7.169032717582e-06,3.835575915980e-01,3.331162700358e-02,4.209084544192e-06
"                  14",-3.955919822588e-01,2.864854242116e+01,4.068046493029e-06,-3.083787016164e-02,2.867622773950e+01,8.243343812856e-06,3.647541120972e-01,2.768531833524e-02,4.175297319827e-06
"                  15",-3.569943341616e+00,6.911377570412e+00,5.156302567898e-06,-3.231526783621e+00,6.935271639232e+00,6.266785576812e-06,3.384165579948e-01,2.389406882033e-02,1.110483008914e-06
"                  16",-3.881546471266e+00,1.071551885605e+01,5.360566759117e-06,-3.564808083296e+00,1.073996587072e+01,4.072567057910e-06,3.167383879700e-01,2.444701467322e-02,-1.287999701207e-06
"                  17",-2.008038601626e+00,2.831839585858e+01,4.962613412041e-06,-1.706327603624e+00,2.834633215066e+01,4.460884620374e-06,3.017109980012e-01,2.793629208688e-02,-5.017287916675e-07
"                  18",-3.011100311155e-01,3.931560107771e+01,4.763448745004e-06,-9.219099037103e-03,3.934664061501e+01,7.132202856970e-06,2.918909320784e-01,3.103953730477e-02,2.368754111966e-06
"                  19",-2.038136052400e-01,3.584680385374e+01,5.115887520700e-06,8.137869887093e-02,3.587894211410e+01,9.521860725631e-06,2.851923041109e-01,3.213826035731e-02,4.405973204931e-06
"                  20",-1.347838771825e+00,2.597371270275e+01,5.742744837145e-06,-1.072738229278e+00,2.600540539802e+01,9.543816703224e-06,2.751005425469e-01,3.169269526825e-02,3.801071866079e-06
"                  21",-2.420285585985e+00,2.121863590243e+01,6.205106626125e-06,-2.156817766004e+00,2.124995464413e+01,7.196978968958e-06,2.634678199818e-01,3.131874169883e-02,9.918723428326e-07
"                  22",-2.566704091336e+00,2.457967308997e+01,6.319121156008e-06,-2.312524849894e+00,2.461097661027e+01,4.956547607249e-06,2.541792414419e-01,3.130352029583e-02,-1.362573548759e-06
"                  23",-1.972356790611e+00,3.060712426320e+01,6.274109835580e-06,-1.724087866411e+00,3.063902568651e+01,5.560378468624e-06,2.482689241997e-01,3.190142330790e-02,-7.137313669560e-07
"                  24",-1.374573945288e+00,3.318758502560e+01,6.312020087929e-06,-1.130979283410e+00,3.322014260943e+01,8.398546169745e-06,2.435946618773e-01,3.255758383441e-02,2.086526081816e-06
"                  25",-1.318272501733e+00,3.134873494305e+01,6.542921380114e-06,-1.079552315303e+00,3.138149862166e+01,1.134965351653e-05,2.387201864295e-01,3.276367860815e-02,4.806732136416e-06
"                  26",-1.728044443260e+00,2.842877353637e+01,6.860132454868e-06,-1.495059682305e+00,2.846170526119e+01,1.198381562537e-05,2.329847609551e-01,3.293172482259e-02,5.123683170506e-06
"                  27",-2.157348982897e+00,2.769631921509e+01,7.152390431628e-06,-1.930605505706e+00,2.772952393439e+01,1.047210887968e-05,2.267434771906e-01,3.320471930219e-02,3.319718448051e-06
"                  28",-2.277811459403e+00,2.932039828827e+01,7.349234606895e-06,-2.056265574361e+00,2.935398232320e+01,9.279635334424e-06,2.215458850424e-01,3.358403492299e-02,1.930400727530e-06
"                  29",-2.109350409193e+00,3.128395848773e+01,7.514218041990e-06,-1.891067778590e+00,3.131782226821e+01,9.713967902556e-06,2.182826306029e-01,3.386378048108e-02,2.199749860566e-06
"                  30",-1.912682854026e+00,3.193308031368e+01,7.683635440762e-06,-1.697358617487e+00,3.196717432997e+01,1.147255109070e-05,2.153242365385e-01,3.409401629339e-02,3.788915649941e-06
"                  31",-1.889017384658e+00,3.137994114237e+01,7.912176657330e-06,-1.677527241772e+00,3.141415256995e+01,1.295374379769e-05,2.114901428855e-01,3.421142757270e-02,5.041567140364e-06
"                  32",-2.045727464161e+00,3.082556778731e+01,8.177819195305e-06,-1.839117298909e+00,3.085985428366e+01,1.282551900608e-05,2.066101652523e-01,3.428649635056e-02,4.647699810773e-06
"                  33",-2.237641145004e+00,3.101007528415e+01,8.452096735326e-06,-2.036274764795e+00,3.104433741422e+01,1.136690107707e-05,2.013663802099e-01,3.426213007191e-02,2.914804341746e-06
