Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                   1",8.404514251117e+00,-8.236492819748e+00,-8.914307017777e-05,8.456978298821e+00,-8.230803466288e+00,-8.942978862396e-05,5.246404770425e-02,5.689353459230e-03,-2.867184461886e-07
"                   2",3.294092313797e+00,-3.273305359569e+00,-2.936846660171e-05,3.307091973930e+00,-3.258216226509e+00,-3.083701841260e-05,1.299966013303e-02,1.508913306002e-02,-1.468551810890e-06
"                   3",-2.514836372833e+00,2.672965394788e+00,4.159010874965e-05,-2.521671373915e+00,2.695584133670e+00,3.749027694151e-05,-6.835001082015e-03,2.261873888120e-02,-4.099831808146e-06
"                   4",-4.054357351239e+00,4.070186855790e+00,5.032431591758e-05,-4.053840036446e+00,4.090953117435e+00,4.024255937799e-05,5.173147931560e-04,2.076626164539e-02,-1.008175653959e-05
"                   5",-1.342099452847e+00,1.077751796051e+00,6.808673560629e-06,-1.328017820552e+00,1.090235502310e+00,-1.613900665342e-06,1.408163229463e-02,1.248370625851e-02,-8.422574225971e-06
"                   6",1.539442140849e+00,-1.821777013441e+00,-2.943452942873e-05,1.561860331315e+00,-1.815225277651e+00,-3.814570277156e-05,2.241819046637e-02,6.551735789956e-03,-8.711173342835e-06
"                   7",2.681365252380e+00,-2.527234849301e+00,-2.313156603149e-05,2.699826020388e+00,-2.522460786847e+00,-3.017029409038e-05,1.846076800785e-02,4.774062454193e-03,-7.038728058895e-06
"                   8",1.396141351311e+00,-9.824451073845e-01,5.893228954106e-06,1.406890268358e+00,-9.758999645887e-01,-4.267477323948e-06,1.074891704679e-02,6.545142795861e-03,-1.016070627805e-05
"                   9",-2.775720795574e-01,5.936921848696e-01,2.264286229121e-05,-2.722381684823e-01,6.032242490557e-01,4.714365170069e-05,5.333911075006e-03,9.532064186059e-03,2.450078940947e-05
"                  10",-8.351758871533e-01,7.806872845569e-01,1.295538226578e-05,-8.313937056229e-01,7.928581121874e-01,3.425825127066e-05,3.782181530429e-03,1.217082763050e-02,2.130286900488e-05
"                  11",-3.709458704458e-01,1.439780535898e-02,-7.939394311969e-06,-3.647548931340e-01,2.512583261875e-02,-2.263065895569e-06,6.190977311787e-03,1.072802725978e-02,5.676328416400e-06
"                  12",3.627885533702e-01,-6.520261611709e-01,-1.543683072915e-05,3.694002853980e-01,-6.443216080882e-01,-6.468999668980e-06,6.611732027783e-03,7.704553082687e-03,8.967831060167e-06
"                  13",7.264081508378e-01,-7.035721646903e-01,-7.551274424163e-06,7.323597960265e-01,-6.984612409819e-01,2.148324164354e-05,5.951645188691e-03,5.110923708336e-03,2.903451606770e-05
